id,cs,derivation,text
1,1,metonymy,У него были маленькие злые глазки.
9,2,homonym1,Повышение по службе дало надежды на карьерный рост.
18,3,literal," В этом году английский у нас преподает нервная, крикливая учительница. "
25,4,homonym1,Наша задача ― посеять на лугах и пастбищах новые кормовые растения. 
32,5,literal,"В ходе расследования выяснилось, что водитель был трезвым."
39,6,literal,В нашей школе очень строгий директор.
45,7,metonymy,Нас встретил высокий мужчина с бородой и ясными умными глазами.
53,8,metonymy,Сколько бездушного эгоизма в его голосе!
59,9,literal,Они закрыли агрессивное животное в машине и увезли.
66,10,metaphor,Эти бизнесмены зарабатывают сумасшедшие деньги.
73,11,metaphor, Это пальто нужно стирать в режиме деликатной стирки.
80,12,literal,В стену был вбит железный гвоздь.
88,13,literal,Поздно вечером мать увела сытых и сонных детей домой.
95,14,metaphor,У нее очень боевой характер.
102,15,literal,"Посреди шумного общества, в кругу веселых товарищей, ему было хорошо."
109,17,metaphor,С огромным интересом слушал я живые рассказы брата о Петрограде
110,17,literal,Живого медведя нельзя держать в доме. 
116,18,literal,Прямо перед дверью на полу лежала мертвая крыса.
124,19,metonymy,Это может вызвать холодный ожог губ и полости рта.
130,20,metonymy,При сахарном диабете отвар 10 г на 150 мл воды - суточная доза.
134,21,literal,Вместо золота в посылке оказались свинцовые слитки. 
139,22,metaphor,Для классических интерьеров больше подходят вазы белого или молочного цвета.
144,23,metonymy,Солнечный ожог можно получить даже в пасмурную погоду.
151,24,metonymy_proximal,На его лице появилась беззаботная улыбка.
160,25,literal,В автобус зашел пьяный мужик с бутылкой водки в руке.
167,26,metonymy_proximal,Следующая запись вызвала у меня нервный смех.
175,27,literal,"Это был немолодой, грустный человек в темной рубахе."
183,28,metonymy_distal,Ученицы 6 «б» класса исполнили для гостей задорный танец.
190,29,literal,Ты сегодня какой-то унылый.
199,30,metonymy_distal,Я расскажу вам некоторые любопытные подробности из дела вашего брата.
205,31,literal,Наш сосед по лестничной клетке - очень беспокойный старичок.
213,32,metonymy_distal,"Вкус печенья напоминал лепешки, которые пекла мать в голодные годы."
219,33,literal,Веселая девочка запустила мыльный пузырь в небо.
228,34,literal,Добродушный пес по кличке Грей обожал хозяина.
235,35,proximal_metonymy_1,"Учитель говорил строго, глядя прямо в его лживые глаза."
243,36,literal,Этот наглый мошенник появился около пяти лет назад.
250,37,proximal_metonymy_1,Она обвела нас внимательным взглядом.
258,38,literal,"Наивные дети даже не поняли, в чем секрет фокуса."
266,39,proximal_proximal_metonymy_2,"Он шел своей легкой, как бы ленивой походкой."
274,40,literal,"Вы почему не спите? Весь дом перебудили, глупые дети!"
281,41,proximal_proximal_metonymy_2,"Похоже, уверенного ответа на этот вопрос сегодня дать никто не может."
288,42,literal,"Он спокойный, немного робкий малыш."
294,43,literal,Он был хорошим охотником и смелым воином.
300,44,homonym1,Наш класс победил в конкурсе строевой песни.
307,45,homonym1,На газовой плите стоит кастрюля с водой.
312,46,homonym1,Лезвие топора расщепило надвое половую доску.
320,47,monosemy,Я повернул налево и оказался на широкой улице.
325,48,monosemy,В коридоре висело круглое зеркало.
331,49,monosemy,"В поле паслась коза, привязанная длинной веревкой к колышку."
336,50,monosemy,На лето задали прочитать очень толстую книгу.
340,51,monosemy,Утром-то я поел хлеба с солью и запил его сладким чаем.
343,52,monosemy,"― Здесь ничего нет, ― раздался откуда-то сверху громкий голос."
348,53,monosemy,"Большая серая кошка спала на одеяле, покрывающем топчан."
353,54,monosemy,Я погладил черную мягкую шерсть собаки.
2,1,metaphor,Вокруг них росла  злая крапива.
10,2,homonym1,Ее трудолюбие помогло ей достичь карьерных высот.
19,3,metonymy,Его старческий крикливый голос был хорошо слышен
26,4,homonym1,На поливных землях возделывают овощи и кормовые культуры.
33,5,metonymy,У Васи вроде бы трезвый голос.
40,6,literal,Он строгий отец - всегда ругает своих детей за двойки.
46,7,literal,Иванов и Петров -  самые умные ученики в нашем классе.
54,8,metaphor,Нельзя относиться к людям как к бездушному материалу!
60,9,metonymy,Этот прием используют еще для резкой и агрессивной манеры езды.
67,10,metonymy,У него от атропина были просто сумасшедшие зрачки. 
74,11,metonymy,Это был человек с утонченными чувствами и деликатными манерами.
81,12,metaphor,Против такой критики у нас есть железный аргумент.
89,13,metonymy,Колдунья напоила принца сонным зельем. 
96,14,metaphor, Мы застали Ксению в приподнятом и  боевом настроении. 
103,15,metonymy,Под веселую музыку в парке танцевали люди.
