participant,source,cs,is_filler,word,group,contexts
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,36,False,наглый,proximal_proximal_meton,243 244
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,36,False,наглый,proximal_proximal_meton,245 246
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,36,False,наглый,proximal_proximal_meton,248 249 247
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,37,False,внимательный,proximal_proximal_meton,250 252
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,37,False,внимательный,proximal_proximal_meton,256 251 254
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,37,False,внимательный,proximal_proximal_meton,253 255
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,37,False,внимательный,proximal_proximal_meton,257
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,6,False,строгий,proximal_meton,40 39
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,6,False,строгий,proximal_meton,42 43
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,6,False,строгий,proximal_meton,41 44
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,38,False,наивный,proximal_proximal_meton,258 262
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,38,False,наивный,proximal_proximal_meton,264 260 261 263
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,38,False,наивный,proximal_proximal_meton,265 259
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,31,False,беспокойный,proximal_distal_meton,209 210 205
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,31,False,беспокойный,proximal_distal_meton,211 206
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,31,False,беспокойный,proximal_distal_meton,208 212 207
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,30,False,любопытный,proximal_distal_meton,203 199
277a058c-6372-4840-8b1d-2ac2bac3d5e1,social,30,False,любопытный,proximal_distal_meton,200 201 202 204
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,24,False,беззаботный,proximal_distal_meton,152 153 154 156 157 158
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,24,False,беззаботный,proximal_distal_meton,159 155 151
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,39,False,ленивый,proximal_proximal_meton,272 273 266 270
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,39,False,ленивый,proximal_proximal_meton,267 268 269 271
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,30,False,любопытный,proximal_distal_meton,200 201 202
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,30,False,любопытный,proximal_distal_meton,203 204 199
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,41,False,уверенный,proximal_proximal_meton,282 286 287
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,41,False,уверенный,proximal_proximal_meton,283 284
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,41,False,уверенный,proximal_proximal_meton,281 285
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,31,False,беспокойный,proximal_distal_meton,209 205 207
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,31,False,беспокойный,proximal_distal_meton,208 210
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,31,False,беспокойный,proximal_distal_meton,211 212 206
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,38,False,наивный,proximal_proximal_meton,258 262
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,38,False,наивный,proximal_proximal_meton,265 259 263
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,38,False,наивный,proximal_proximal_meton,264 260 261
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,32,False,голодный,proximal_distal_meton,217 218 215
6d95f5d4-7b88-48f9-b239-b7db98ace329,social,32,False,голодный,proximal_distal_meton,216 213 214
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,1,False,злой,proximal_meton,2
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,1,False,злой,proximal_meton,1 4 7
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,1,False,злой,proximal_meton,8
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,1,False,злой,proximal_meton,5
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,1,False,злой,proximal_meton,3 6
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,27,False,грустный,proximal_distal_meton,177 180 182
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,27,False,грустный,proximal_distal_meton,176 178 181 175
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,27,False,грустный,proximal_distal_meton,179
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,3,False,крикливый,proximal_meton,20
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,3,False,крикливый,proximal_meton,18 19 21 22 24
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,3,False,крикливый,proximal_meton,23
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,13,False,сонный,distal_meton,89 93
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,13,False,сонный,distal_meton,88 90 94
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,13,False,сонный,distal_meton,92
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,13,False,сонный,distal_meton,91
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,19,False,холодный,distal_meton,129 126 127
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,19,False,холодный,distal_meton,128 125
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,19,False,холодный,distal_meton,124
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,11,False,деликатный,proximal_meton,74 76 78 79
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,11,False,деликатный,proximal_meton,73 75
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,social,11,False,деликатный,proximal_meton,77
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,13,False,сонный,distal_meton,88 90 94
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,13,False,сонный,distal_meton,89 91 92 93
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,8,False,бездушный,proximal_meton,57 58 53 55
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,8,False,бездушный,proximal_meton,56 54
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,7,False,умный,proximal_meton,49 50 46
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,7,False,умный,proximal_meton,45 47 48 51 52
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,42,False,робкий,proximal_proximal_meton,288 290
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,42,False,робкий,proximal_proximal_meton,289 291 292 293
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,39,False,ленивый,proximal_proximal_meton,267 269 271
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,39,False,ленивый,proximal_proximal_meton,266 268 270 272 273
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,29,False,унылый,proximal_distal_meton,192 190 191
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,social,29,False,унылый,proximal_distal_meton,193 194 195 196 197 198
31208ef9-ccc2-430b-8396-31f49099b749,social,30,False,любопытный,proximal_distal_meton,203 199
31208ef9-ccc2-430b-8396-31f49099b749,social,30,False,любопытный,proximal_distal_meton,200 201 202 204
31208ef9-ccc2-430b-8396-31f49099b749,social,23,False,солнечный,distal_meton,144 145 147 149 150
31208ef9-ccc2-430b-8396-31f49099b749,social,23,False,солнечный,distal_meton,146 148
31208ef9-ccc2-430b-8396-31f49099b749,social,35,False,лживый,proximal_proximal_meton,235 236 237 238 239 240 241 242
31208ef9-ccc2-430b-8396-31f49099b749,social,24,False,беззаботный,proximal_distal_meton,151 152 154 155 158 159
31208ef9-ccc2-430b-8396-31f49099b749,social,24,False,беззаботный,proximal_distal_meton,153 156 157
31208ef9-ccc2-430b-8396-31f49099b749,social,20,False,сахарный,distal_meton,130 131 133
31208ef9-ccc2-430b-8396-31f49099b749,social,20,False,сахарный,distal_meton,132
31208ef9-ccc2-430b-8396-31f49099b749,social,3,False,крикливый,proximal_meton,18 19 21 22 24
31208ef9-ccc2-430b-8396-31f49099b749,social,3,False,крикливый,proximal_meton,20 23
31208ef9-ccc2-430b-8396-31f49099b749,social,38,False,наивный,proximal_proximal_meton,258 260 261 262 263 264
31208ef9-ccc2-430b-8396-31f49099b749,social,38,False,наивный,proximal_proximal_meton,265 259
65198011-1ade-4194-a77b-59dd176d449f,social,9,False,агрессивный,proximal_meton,65 62 63
65198011-1ade-4194-a77b-59dd176d449f,social,9,False,агрессивный,proximal_meton,64 59 60 61
65198011-1ade-4194-a77b-59dd176d449f,social,11,False,деликатный,proximal_meton,73 75
65198011-1ade-4194-a77b-59dd176d449f,social,11,False,деликатный,proximal_meton,74 76 78 79
65198011-1ade-4194-a77b-59dd176d449f,social,11,False,деликатный,proximal_meton,77
65198011-1ade-4194-a77b-59dd176d449f,social,36,False,наглый,proximal_proximal_meton,248 249 247
65198011-1ade-4194-a77b-59dd176d449f,social,36,False,наглый,proximal_proximal_meton,243 244
65198011-1ade-4194-a77b-59dd176d449f,social,36,False,наглый,proximal_proximal_meton,245 246
65198011-1ade-4194-a77b-59dd176d449f,social,13,False,сонный,distal_meton,89 91 93
65198011-1ade-4194-a77b-59dd176d449f,social,13,False,сонный,distal_meton,88 90 92 94
65198011-1ade-4194-a77b-59dd176d449f,social,10,False,сумасшедший,proximal_meton,72 66 71
65198011-1ade-4194-a77b-59dd176d449f,social,10,False,сумасшедший,proximal_meton,67 68 69 70
65198011-1ade-4194-a77b-59dd176d449f,social,6,False,строгий,proximal_meton,42 43
65198011-1ade-4194-a77b-59dd176d449f,social,6,False,строгий,proximal_meton,40 39
65198011-1ade-4194-a77b-59dd176d449f,social,6,False,строгий,proximal_meton,41 44
65198011-1ade-4194-a77b-59dd176d449f,social,14,False,боевой,distal_meton,96 95
65198011-1ade-4194-a77b-59dd176d449f,social,14,False,боевой,distal_meton,97 98 99 100 101
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,24,False,беззаботный,proximal_distal_meton,152 154 158
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,24,False,беззаботный,proximal_distal_meton,159 155 151
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,24,False,беззаботный,proximal_distal_meton,153 156 157
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,23,False,солнечный,distal_meton,146 148
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,23,False,солнечный,distal_meton,144 145
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,23,False,солнечный,distal_meton,147 149 150
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,8,False,бездушный,proximal_meton,56 57 58 54
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,8,False,бездушный,proximal_meton,53 55
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,20,False,сахарный,distal_meton,131 133
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,20,False,сахарный,distal_meton,132
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,20,False,сахарный,distal_meton,130
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,22,False,молочный,distal_meton,142
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,22,False,молочный,distal_meton,139 141
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,22,False,молочный,distal_meton,143
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,22,False,молочный,distal_meton,140
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,3,False,крикливый,proximal_meton,20 23
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,3,False,крикливый,proximal_meton,18 19 21 22 24
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,10,False,сумасшедший,proximal_meton,67 68 69 70
0336dcbb-07aa-48d7-9193-4cda01ce347b,social,10,False,сумасшедший,proximal_meton,72 66 71
60166230-ee41-41ad-8518-af1dbf44b7e6,social,20,False,сахарный,distal_meton,131
60166230-ee41-41ad-8518-af1dbf44b7e6,social,20,False,сахарный,distal_meton,130
